"time","GEO_ID","NAME","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_CV",
"Year","Geographic identifier code","Geographic Area Name","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount","Coefficent of Variation for Amount (percent)",
"2022","0100000US","United States","SF0145","Insurance Trust Revenue - Other State Social Insurance Trust Systems Earnings on Investments","002","State","25288","0.00",
"2022","0100000US","United States","SF0146","Exhibit - Expenditure - Lottery Prizes Awarded","002","State","65227380","0.00",
"2022","0100000US","United States","SF0147","Exhibit - Expenditure - Lottery Administrative Expense","002","State","4323880","0.00",
"2022","0100000US","United States","SF0148","Exhibit - Expenditure - Liquor Stores Expenditure - Cost of Goods","002","State","7361943","0.00",
"2022","0100000US","United States","SF0149","Exhibit - Expenditure - Liquor Stores Expenditure - Operating Expenditure","002","State","2699270","0.00",
"2022","0100000US","United States","SF0150","Exhibit - Expenditure - Liquor Stores Expenditure - Non-operating Expenditure","002","State","2858","0.00",
"2022","0100000US","United States","SF0151","Exhibit - Expenditure - Intergovernmental Expenditure - Liquor Stores Expenditure - Transfer to General","002","State","2165199","0.00",
"2022","0100000US","United States","SF0152","Exhibit - Expenditure - Liquor Stores Expenditure - License & Enforcement","002","State","32218","0.00",
"2022","0100000US","United States","SF0153","Expenditure - Total Expenditure","002","State","2825186298","0.00",
"2022","0100000US","United States","SF0154","Expenditure - Total General Expenditure","002","State","2779880255","0.00",
"2022","0100000US","United States","SF0155","Expenditure - General Expenditure - Total Intergovernmental Expenditure","002","State","771123480","0.00",
"2022","0100000US","United States","SF0156","Expenditure - Intergovernmental Expenditure - To Local Government - Air Transportation","002","State","1087570","0.00",
"2022","0100000US","United States","SF0157","Expenditure - Intergovernmental Expenditure - To Local Government - Correctional Institutions","002","State","1802718","0.00",
"2022","0100000US","United States","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Other Corrections","002","State","884248","0.00",
"2022","0100000US","United States","SF0159","Expenditure - Intergovernmental Expenditure - To Local Government - Elementary and Secondary Education","002","State","79109274","0.00",
"2022","0100000US","United States","SF0160","Expenditure - Intergovernmental Expenditure - To Local Government - Other Higher Education","002","State","2566518","0.00",
"2022","0100000US","United States","SF0161","Expenditure - Intergovernmental Expenditure - To Local Government - Federal and State Other Education","002","State","3186603","0.00",
"2022","0100000US","United States","SF0162","Expenditure - Intergovernmental Expenditure - To Local Government - Financial Administration","002","State","2273756","0.00",
"2022","0100000US","United States","SF0163","Expenditure - Intergovernmental Expenditure - To Local Government - Judicial and Legal","002","State","6227083","0.00",
"2022","0100000US","United States","SF0164","Exhibit - Expenditure - Intergovernmental Expenditure - To Local Government - Federal and State Environmental Health","002","State","3521744","0.00",
"2022","0100000US","United States","SF0165","Expenditure - Intergovernmental Expenditure - To Local Government - Central Staff Services","002","State","418307","0.00",
"2022","0100000US","United States","SF0166","Expenditure - Intergovernmental Expenditure - To Local Government - General Local Government Support","002","State","47710284","0.00",
"2022","0100000US","United States","SF0167","Expenditure - Intergovernmental Expenditure - To Local Government - Health","002","State","26963833","0.00",
"2022","0100000US","United States","SF0168","Expenditure - Intergovernmental Expenditure - To Local Government - Hospitals","002","State","2648687","0.00",
"2022","0100000US","United States","SF0169","Expenditure - Intergovernmental Expenditure - To Local Government - Regular Highways","002","State","26089503","0.00",
"2022","0100000US","United States","SF0170","Expenditure - Intergovernmental Expenditure - To Local Government - Housing and Community Development","002","State","11707525","0.00",
"2022","0100000US","United States","SF0171","Expenditure - Intergovernmental Expenditure - To Local Government - Libraries","002","State","961479","0.00",
"2022","0100000US","United States","SF0172","Expenditure - Intergovernmental Expenditure - To Local Government - Other Agriculture","002","State","727729","0.00",
"2022","0100000US","United States","SF0173","Expenditure - Intergovernmental Expenditure - To Local Government - State Fish and Game","002","State","289661","0.00",
